date,account_value
2016-09-19,284471.8498904571
2016-09-20,286350.88809846493
2016-09-21,289844.7352664337
2016-09-22,295335.0633303985
2016-09-23,295720.40885041805
2016-09-26,293301.868994461
2016-09-27,299522.5234744415
2016-09-28,304150.38809846493
2016-09-29,304271.5043704376
2016-09-30,307302.92795442196
2016-10-03,307093.7352664337
2016-10-04,306099.1796023712
2016-10-05,309890.2734744415
2016-10-06,308899.368994461
2016-10-07,308080.9661624298
2016-10-10,308917.7369143829
2016-10-11,304987.15885041805
2016-10-12,306121.1987063751
2016-10-13,304355.9296023712
2016-10-14,302036.4869143829
2016-10-17,298362.8133303985
2016-10-18,300087.717810379
2016-10-19,300102.38974641415
2016-10-20,297397.60153840634
2016-10-21,300579.4852664337
2016-10-24,307589.1987063751
2016-10-25,306521.2161624298
2016-10-26,301900.6987063751
2016-10-27,300348.2734744415
2016-10-28,284919.60153840634
2016-10-31,289874.10153840634
2016-11-01,288255.618994461
2016-11-02,280970.67795442196
2016-11-03,281510.1796023712
2016-11-04,277113.5043704376
2016-11-07,288079.4661624298
2016-11-08,289114.40885041805
2016-11-09,283290.12064241024
2016-11-10,272463.62064241024
2016-11-11,271226.83243440243
2016-11-14,263908.85153840634
2016-11-15,272779.2352664337
2016-11-16,273971.9852664337
2016-11-17,277608.967810379
2016-11-18,278988.868994461
2016-11-21,286270.15885041805
2016-11-22,288226.2751223907
2016-11-23,286314.19705842587
2016-11-25,286405.94705842587
2016-11-28,281414.7560183868
2016-11-29,279855.0060183868
2016-11-30,275469.35153840634
2016-12-01,272929.717810379
2016-12-02,271714.9487063751
2016-12-05,278695.2734744415
2016-12-06,280662.38809846493
2016-12-07,282754.2925784454
2016-12-08,281620.2751223907
2016-12-09,282108.368994461
2016-12-12,278974.19705842587
2016-12-13,284192.9487063751
2016-12-14,282167.10153840634
2016-12-15,279297.15885041805
2016-12-16,278111.7560183868
2016-12-19,281132.15885041805
2016-12-20,283047.88809846493
2016-12-21,282820.3498904571
2016-12-22,281256.9487063751
2016-12-23,279146.6987063751
2016-12-27,283113.967810379
2016-12-28,283381.87064241024
2016-12-29,280820.217810379
2016-12-30,275212.44705842587
2017-01-03,276607.0425784454
2017-01-04,277895.2161624298
2017-01-05,286435.3133303985
2017-01-06,292138.4852664337
2017-01-09,292479.7925784454
2017-01-10,292105.467810379
2017-01-11,293250.5060183868
2017-01-12,298616.0442263946
2017-01-13,299900.5442263946
2017-01-17,297177.38809846493
2017-01-18,296355.3116824493
2017-01-19,296927.8307864532
2017-01-20,296667.2751223907
2017-01-23,300172.12064241024
2017-01-24,301845.63974641415
2017-01-25,307013.0060183868
2017-01-26,307978.217810379
2017-01-27,306737.7560183868
2017-01-30,304759.62064241024
2017-01-31,302227.3116824493
2017-02-01,305482.5998904571
2017-02-02,308271.8133303985
2017-02-03,297353.5633303985
2017-02-06,296414.0442263946
2017-02-07,298197.65885041805
2017-02-08,300843.7369143829
2017-02-09,301449.2734744415
2017-02-10,303687.9869143829
2017-02-13,307016.6796023712
2017-02-14,306965.2942263946
2017-02-15,309281.0633303985
2017-02-16,309809.5442263946
2017-02-17,310150.85153840634
2017-02-21,314323.63974641415
2017-02-22,314019.0234744415
2017-02-23,312763.88974641415
2017-02-24,310213.2352664337
2017-02-27,311461.0442263946
2017-02-28,310139.8307864532
2017-03-01,313090.5251223907
2017-03-02,311560.118994461
2017-03-03,311916.12064241024
2017-03-06,310716.0234744415
2017-03-07,310499.5060183868
2017-03-08,312143.65885041805
2017-03-09,313061.15885041805
2017-03-10,312862.9869143829
2017-03-13,313644.6987063751
2017-03-14,312888.6796023712
2017-03-15,313050.13809846493
2017-03-16,313215.2925784454
2017-03-17,312807.92795442196
2017-03-20,314518.13809846493
2017-03-21,309464.5633303985
2017-03-22,311248.17795442196
2017-03-23,310998.62064241024
2017-03-24,310349.0234744415
2017-03-27,310793.10153840634
2017-03-28,314162.15885041805
2017-03-29,320885.60153840634
2017-03-30,321626.9487063751
2017-03-31,325370.3307864532
2017-04-03,327194.33243440243
2017-04-04,332816.7751223907
2017-04-05,333715.9296023712
2017-04-06,329678.9296023712
2017-04-07,328431.12064241024
2017-04-10,332893.8307864532
2017-04-11,331176.2734744415
2017-04-12,328926.5616824493
2017-04-13,324684.0425784454
2017-04-17,331040.4852664337
2017-04-18,331697.4296023712
2017-04-19,330016.5633303985
2017-04-20,331066.17795442196
2017-04-21,329770.6796023712
2017-04-24,333029.618994461
2017-04-25,333106.69705842587
2017-04-26,333719.5807864532
2017-04-27,337055.62064241024
2017-04-28,339481.4852664337
2017-05-01,348010.5616824493
2017-05-02,347537.13974641415
2017-05-03,345368.1796023712
